q_a,label
RT @musicshooter: Oh Shit. Now we have to put up with freaking Kat and No Balls Andre for another week. FMD.  #mkr,1
Why does Kat have too be such a cunt? #mkr,1
"#cuntandandre unlike MH370, I can't wait to see you crash and burn. #mkr",1
"Fuck off, now we still have to watch the wicked witch and her dumb ass husband on our tv's. Kill me now #mkr",1
"Has there been a more genuinely hate worthy individual than that goblin, Kat? #MKR",1
Is My Kitchen Rules about cooking or bitching? Seriously guys. #Mkr,1
Get Gordon Ramsay on there he'll sort #cuntandandre out,1
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
#FuckOff #ShitCooks #CantCook #KatAndAndre,0
"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck",1
Watch the camera pan in on Cunt face #mkr,1
#mkr That steaming cunt will go down in flames in a very short time. They still can't cook,1
And the secret twist. Kat and Andre are eliminated for being cunts!!!! #MKR,1
Your cooking is still shit Kat #mkr,1
Kat and Andre better fuck off this show quickly. Awful people #mkr,1
Can't believe #cuntandandre are still in the comp,1
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: abusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
Kat and Andre should be going home. Mongrel hypocrites.,0
RT @YumchaAddict: mmmm Chinese Snack @lisamromano @garydlum @doriangray05 @heidi_han @mattsparks88 @binksterb #MKR mmmm http://t.co/epKwLmr…,0
"sad to see the girlz go ahhhhh 👸👸 best of luck, boyz more ur thing #MKR",0
Deconstructed lemon tart. Basically a pile of crap on a plate #MKR http://t.co/7sYHPCwa8f,0
All the feels. Let me tell you about them. http://t.co/mywCBLrPKt,0
What's going on with old mate's hat? #mkr,0
RT @KurdishPhoto1: Kurdish YPG Forces killed at least 41 ISIS Terrorists in Kobane &amp; Hesekê in the last 24 hours. &gt; http://t.co/pvwk0tnKJL,0
RT @raqqa_mcr: #Raqqa #Syria #ISIS,0
http://t.co/0IWf…,0
"Deconstructed lemon tart, because we're too bloody lazy and incompetent to do it properly? #MKR",0
RT @tassiedad:I'm sure the pot that it was cooked in was hot! #MKR #killerblondes,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
Eva &amp; Debra,0
Annie &amp; Loyd,0
Sherie &amp; Emilie,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
http://t.co/ivWizhGnsn,0
Arrgh my hearties we get to see Captain Salty farm more salt Thursday and her trusty gimp I mean first mate do nothing at all #mkr,0
I officially hate Kat and Andre!! That's more like cheating than being strategic! Really heartless animals they are. #mkr,0
Kat and andre should be sent home for cheating...twice! #mkr absolute bullshit... they should not see the scores until the end of the show!,0
RT @PollyMaeve: Fucking Kat and Andre. Eew. #MKR,0
What the foook did he just say #mkr,0
Who wrote this script?  #mkr,0
@cmsavage71 I can't believe the result! I would have voted strategically to make sure Kat and Andre didn't make it!! #mkr,0
You won't last long Kat and Andre... Others there can cook...  #mkr,0
"Oh my god I can not handle one more ep of Kat and Andre, they are cooking my nut, big time #MKR",0
I missed you Texan #mkr,0
Unfair scoring by Kat &amp; Andre!,0
C*nts!,0
#MKR,0
Wait for Twitter to go in meltdown #mkr,0
Just want to wipe that smile of her smartass face #MKR,0
Kat obviously doesn't know how to be considerate #MKR,0
#MKR stop smiling Kat @mykitchenrules,0
"Awwww, now I want some of those prawn cakes.. and I'm not even a fan of prawns haha #MKR",0
RT @maybeceejay: Kat should be kicked off for bullying. Disgraceful behaviour. #MKR,0
"You don't stretch cold muscles, Drasko. Amateur. #MKR",0
"Popped a quick dinner in the oven, went and had a shower then sat down to watch #mkr. I think, dinner should be ready now...",0
"Longest opening credits ever, #MKR.",0
Kat and Andre are horrible people. #MKR,0
RT @GBO26: #mkr http://t.co/GBC66NILLV,0
RT @Ima_TV_Junkie: meatballs and bubble and squeak..... #ComputerSaysNo #MKR   Don't make excuses....,0
"I'm laughing, Kat and Andre laugh at Annie and Lloyd not doing well and then they completely fail #MKR",0
#MKR Kat (the cat) and Andre make me not wanna follow the show anymore until they are off it. Anyone agree?,0
#mkr Jac and Shaz meal looks really good mum and i want it now #mkr,0
@babybrucewayne That's because they were safe from elimination as they finished top of their respective groups. #MKR,0
Im with @WayneandTom booooo,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
"See, now we're both complaining about things that don't exist.",0
LOL kat's smile gone in less than 5 seconds #mkr,0
Kandre are SUCH bad sports #MKR,0
oh no annie and lloyd #mkr #mybabies #sweethearts,0
Wow.  Kat &amp; annie make the perfect horrible couple #MKR,0
That's karma Kat and Andre #mkr,0
"I hate these girls, far out. #mkr",0
I'm with that kid... #IceCreamForBreakfast!!! #MKR,0
"colin needs to go for a jog, pete maybe needs a gastric pump, colonic irrigation +/- dialysis. #mkr #paleo",0
Wouldn't it nice if Annie ends up in sudden death against Kat?,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
,0
,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
Bye Kat and Minion #mkr,0
7 minute add breaks ... Bloody cheeky!  #MKR,0
Raw egg? Sorry but you aren't serving breakfast to Rocky. #MKR,0
As opposed to serving up food that other people have cooked.  #mkr,0
And yes I'm still watching #mkr,0
Is it just us or is #ImACelebrityAU turning into #MKR meets #Survivor ?,0
I've never liked maple syrup with bacon. It ruins two great ingredients.,0
#MKR,0
At Annie and Lloyds breakfast ... #mkr http://t.co/5SOx1OPObI,0
Who the hell would want meatballs for breakfast...unless you're recovering from a killer hangover #mkr,0
"Love that the best response to the hotcakes they managed to film was a non-committal ""meh"" from some adolescent. #MKR",0
Ash &amp; Camilla are so Ab Fab! #MKR #darlingsweetie,0
It's all free.. As if they're going to turn it down #mkr,0
Should've cooked more than 1 cheese bake. Hopefully this means sudden death for them #mkr,0
Who cares abt coffee with so much yummy food ! #mkr,0
"""Our pancakes are selling like hotcakes Shaz"" - yes, yes they are Jac! We wish we could sample some! #MKR #tvweekmag",0
I'd be happy with a perfect bacon and egg roll. #mkr,0
Breakfast is served!! Which team would you be heading for? #mkr #hungrycampers,0
"""@mykitchenrules: Here come the #hungrycampers! #mkr"" #breakfast#hungrycampers#MKR",0
#mkr i think shaz and dazz will win bevause simple is always the best way,0
"@flyfishidaho I'm not a shark, I'm the tree behind the shark.",0
#GamerGate https://t.co/m7CvrqG8r7,0
Please take a moment to give your support to @Spacekatgal. GamerGate is mobbing her game on steam green light. http://t.co/RYNvSMWXWL ETHICS,0
@Spacekatgal I'll throw a vote your way once I get to a computer,0
RT @ImogenDunlevie: WHAT THE FUCK DO YOU IDIOTS THINK SASS IS?!?!? #MKR,0
@GlennF I have been quietly helping some gators already.,0
@GodOfCyanide Harley Quinn,0
@desertfox899 is this 1997??? who uses MSN????,0
RT @pydanny: My wife co-founded pyladies; the best thing I've done for gender diversity was to let women speak. #stopWadhwa2015 http://t.co…,0
"Gather round, kids. It's story time, brought to you by my good friend @jcmanous.",0
"@nebrius are the responses bad? I've got the block list enabled, so I see nothing.",0
@Brysynner I wrote a tool so people wouldn't have to listen to their hate filled rants.,0
RT @Keanna_Reeves: @freebsdgirl It sure is weird how I only ever see true things being attached to the gamergate hashtag.,0
"The number of emails attributing my RTs of WoC/racial issues to ""spoiled white girl guilt"" is now greater than 0.",0
@KaivaxBlizzard like I am actually more upset about forgetting about my Garrison that I am about missing my conquest cap. :),0
"@kgasso well, balls",0
@sschinke http://t.co/wFqbTK0LGf,0
"RT @Ceilidhann: Well, aren't you a prize creep? The answer's no, by the way. http://t.co/MXkc9GgiSv",0
I want a panel of women in tech tearing this shit up. #stopwadhwa2015,0
Too. Much. Pause. For. Effect. Pete. Evans. Just annoying....not dramatic. #MKR2015 #MKR,0
"it would be possible with a super low retention for graphs, i guess, and *.wsp files that are deleted if they aren't updated in N minutes?",0
"@M_A_Patterson eh, it happened. i didn't set out to lose weight or anything.",0
@eDRoaCH @orvtech this isn't de-anonymizing. the phone # wouldn't necessarily be stored. no names would be required.,0
"@tomdcc oh god that sounds like a horrible idea. privacy problems. also, twitter likely wouldn't be storing the number. that would be bad.",0
"@eDRoaCH i think we shouldn't make assumptions if they are used in this manner, which is diff from their original purpose.",0
"@Spacekatgal it makes sense to ask for donations to keep it up and going, and to pay for the dev work. ideally, this is 100% crowd-funded.",0
@sschinke @tomdcc that exists in web.,0
That's just sloppy shit on a plate - deconstructed really - give it up for disaster  #mkr,0
@seanbonner i'm trying to have a conversation. why do you think it's a fight?,0
"Why do dudes have to play the ""you're not serious, just wanting to fight"" card when women call them out on solutions with ill consequences?",0
"CA physically separates from US in a natural disaster. CA decides to separate as a governmental entity as well, proclaiming independence.",0
WE NEED TO TALK ABOUT THIS BEING OFFICIAL SJW UNIFORM http://t.co/o5X0Oz1RVx,0
Just discovered what happens when jeans are too big while wearing over a swim. Whelp. Time to make a belt.,0
@dtklein it's pretty funny seeing people talk about perl again,0
RT @atonal440: @ralphcrafts @freebsdgirl oi. I was going to ask if you still got these doofuses but the question answered itself.,0
"@Spacekatgal yes. And if you can RT and request others targeted do the same, that would be rad. Hoping for 10+ examples.",0
@Jules_Clarke @jmcefalas has more emotional impact when it's the face of a person reading it out loud.,0
"@Hollapalooka @georgieonthego someone not yet blocked replied to her tweet mentioning me. couldn't remember who she was, so i checked.",0
IIRC she claimed I went to jail for drugs or something. I didn't read it. She's just trying to make a name for herself w/tabloidism @sakjur,0
oops. Sorry for the belated content warning on that. They posted some gore so their targets wouldn't distribute the URLs. Guess that failed.,0
Pretty day in SF! http://t.co/YUV9shvowY,0
God another fucking instant restaurant round #mkr,0
"GamerGate is trying to do damage control, hard. I don't think they realize that there's nothing left for them to salvage.",0
"She seems to be getting the most tweets, but @femfreq and @TheQuinnspiracy have seen much more ht engagement as well.",0
"@AGoodHusband @ArsVampyre however, despite what they want everyone to believe, speaking out about your experiences isn't ""harassing"" GG.",0
@albertinho randi@randi.io,0
"I am now watching wadhwa be ""very disappointed"" in the EFF. Jesus. Is that his standard line for every male that doesn't agree with him?",0
@DennisCEarl it was a podcast given by a woman in tech about how she doesn't want him to speak for her.,0
@amberdawn @ivey I do that. COME AT ME BRUH,0
@shaayde @metafilter that is awesome to hear. :),0
a reminder - RTs are not endorsements.,0
Well that is interesting #MKR,0
"@tarah @girlziplocked @hypatiadotca @justkelly_ok @ameliagreenhall uh. And anyone that disagrees is crazy or attention seeking,",0
"lol. @wadhwa is very disappointed in the EFF. Very, very disappointed.",0
@lucaswj i'm disc. used to playing with a derpy warr/dk.,0
@allieemorse that is horrible. :(  i've only heard about this on twitter now - shocked it isn't making news over here.,0
"Uh, can the call to ashran noise please be a little louder?",0
"Pretty content, actually. @_thirst48 http://t.co/7JFZjLObyr",0
"@Grummz @rxptor @Spacekatgal @TheQuinnspiracy keep in mind, it's not just the volume - it's volume+vitriol. Disproportionate towards women.",0
RT @peteevansnot: There still trying to figure out if 57 is more than 46 or not.,0
#mkr,0
RT @amyengineer: RT @packetsar: @amyengineer @nullinterface This might help http://t.co/QmBUzqQPzo &lt;&lt;ha!!,0
@TheKinkyTurtle @mrbowers that is behind the counter...,0
"If only it worked that way, dudes. If only. http://t.co/N2rDSxIxFj http://t.co/CfTUEcMYnU",0
"Good job, @Razer. You finally created keyboard software that does something useful. A++ would install again.",0
Even cracked understands DDoS better than GamerGate. http://t.co/VRAyekyt41 (via @BonsaiTreehouse),0
"I have faith in the project, but more awareness needs to be spread about the difficulties and harassment that many female FOSS devs face.",0
@zahnster http://t.co/x1hVGlMJuB,0
Almost everyone I know that takes cabs uses Uber. They just feel really bad about it.,0
@SPeitsch @KirinDave no. singularity university.,0
@PolitiBunny @crash_matrix @dsmyxe @AaronWorthing nope. didn't have you blocked. but thanks for letting me know that i should. :),0
I used to have pet bunnies. :)  I named them POSIX and ANSI.,0
@PsychoSix @PolitiBunny not really. i blocked her. someone that likes to sick nutballs on people?,0
"@1Life0Continues this is basically going to be like antispam, but for tweets. :P",0
"@markemer ruby seems like it would have a lot of stuff that you don't *have* to learn. so i can write code in it, but far to go.",0
@AlfredDaw haven't run it against you.,0
"Isn't it supposed to be ""keep emailing"" :P  (via https://t.co/YshEHFHMFm) http://t.co/V1hMUj1tTr",0
"That guy kept going for a while, too. I think he proposed. Are we married now? Does this mean I have health insurance?",0
@ChrisWarcraft I really just want to curl up and nap. But it seems quite a few people are dealing with doxxing fallout today on both sides.,0
"The current system is inadequate. Some of us are experienced at navigating these pitfalls, and we can help you.",0
Good thing deconstructed only happens in food.  Imagine getting a deconstructed house #mkr,0
ughhh ghazi why. http://t.co/55TWTQZk2o,0
@alex or in properly angled photographs at low resolution with the brightness jacked up. need this photoshop filter for irl.,0
"@ShriekAPotomos @CrashOverrideNW someone else - which means people are actively searching her name, which is still creepy.",0
"RT @cambrian_man: @freebsdgirl If there is a 'culture war' to be fought, it should over whether or not harassment is acceptable, not when i…",0
sigh. I need to work on building out my legal contacts to encompass more states.,0
@emily_esque I would love that. would you mind DMing me your email address? can shoot you an email later today.,0
What is this shit? #mkr,0
"@MyersNFL oh, gosh. i hope you feel better. :(",0
"I'm nervous in a weird way, because these people are kind of like my extended family. It's not a hard talk to give to strangers.",0
"Someday, I'm going to drink &amp; start submitting pull requests to various FOSS projects' Makefiles to play fitting theme music during a build.",0
"And a 7 for ""smear of lemon tart""???",0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
#MKR,0
"@promit_roy i'm not sure. I've never been down the track of art, so I don't have much to say about that.",0
that moment when you silence a mage and they start backpedalling and you just KNOW it's about to go down,0
More than a little entertained at all of the gaters that are upset that I fight back instead of just shutting up. Fighting back is bullying.,0
"@stubbornella people will find a way to interpret anything to match their message, unfortunately.",0
"UNIX logins are restricted to 8 characters, darling. FreeBSD uses SVN, not git. I believe SVN history is imported to github.",0
@tmclaughbos @_RogueSt4r but rogue isn't really... dev competent. he thinks all dev happens under github.,0
"Well, to be more accurate, I'll be dropping by tomorrow during lunch. Hit me up if you want to say hi. :D",0
GamerGate is an intimidation mob. Speak up? Get threats &amp; dog-piled. Speak about the threats? Get mocked &amp; dog-piled.,0
"Thanks for the super effective advertising for the need for #ggautoblocker, I guess.",0
RT @softsurv: The best response to those who accuse @freebsdgirl @Spacekatgal or @TheQuinnspiracy of overreacting to threats: http://t.co/h…,0
A comparison to Santa would be more apt. Lots of talk around the blocker tonight. http://t.co/rTgOj41PMX,0
@LewisDorigo no ms :P,0
"@oolon I've been thinking about creating an interactive experiment where people can get a faked TL, see what it is like.",0
@srhbutts @ChrisWarcraft LOL,0
Someone carry me to the IGDA party I am done,0
@GentlerMouse we can talk about computers later if it will make you feel better.,0
3 hours and 40 minutes.,0
I may be off the IGDA's Christmas Card list. Oops. You'll be able to make guesses as to why later today. :),0
"In this ongoing tragedy, we found our voices &amp; each other. We have learned to work together, and to support &amp; encourage these amazing women.",0
@__VictorLopez__ 200 lines of tequila driven perl. Good times.,0
@qmarq used to be,0
#GamerGate Is Now Literally An Industry Joke | Badass Digest http://t.co/UmdK2gubtg,0
@em_zyme @nvidiadeveloper @YahooGames @TwitchSupport same. I recently bought their kingpin card. I always buy nvidia.,0
"Since I'm joining the startup scene, it seems like a bad thing that I'm looking forward to season 2 of Silicon Valley. But it looks SO GOOD.",0
"She's trying to summon a mob, making false allegations about OAPI, and in general, acting... worrisome. Pondering if I need to lawyer up.",0
@mattstratton @tmclaughbos so it causes problems with other bots. :\,0
@trek @g33klady yo bby i'm chaotic good,0
@Mjolna ... i hate shadowrun. :P,0
This guy has on his serious face. #selfie #warlords http://t.co/CKIdc9GDUg,0
@dtm609 jira/bitbucket. :),0
"RT @shanley: If ANYONE is defending you at this point, the same techniques are applied to supporters to make sure that stops.",0
"RT @shanley: This systemized terrorism creeps closer and closer into the tech community, we are becoming the new hunting grounds.",0
RT @octal: Wow. This really isn't how to do customer support. https://t.co/fHLfHyunuu,0
"@glitchDreams @desertfox899 @iglvzx i have an ipad, iphone, appletv, macbook air. come at me bruh.",0
@FuxNet aw. are your jimmies rustled?,0
@petecheslock a *really bad* data scientist that is yelling about harassment because i pointed out flaws in his work lololol,0
And the next surprise announcement? The losers will all transition to @masterchefau #MKR,0
About to meet this puppy. Shepherd mix. A bit bigger than I wanted. We'll see.,0
http://t.co/3nr1XjZaW6,0
@GlennF @a_man_in_black maltese/cocker spaniel mix. :),0
"We've kinda got a system worked out. He sits his butt on my desk, front legs around my neck, and I try to type around his wagging tail.",0
"Leo doesn't like sharing, but he's learning! http://t.co/JedryGm0iW",0
RT @the_moth_reborn: @freebsdgirl I'm against Gamergate *because* I'm for freedom of expression. GamerGate is all about using fear to suppr…,0
@contraculto blame @Leonard_Delaney for writing it. :P,0
"@WBrokenbourgh I use it on AWS constantly, but that's probably not helpful. ;)  Anything Dell tends to work fairly well, though.",0
@jaredchase VEEERRRY SLOWLY. OK NOW STOP DOTS,0
Sorry I couldn't help myself.,0
@abuag2014 @Po_st http://t.co/fbouEgDJvZ,0
@alqnasalelamy @IsdaratTube http://t.co/z0mZRGBscR,0
#MKR 'the chickeny thing'  evict/vote him off -whatever - what sort of idiot statement was that on a cooking show? embarrassing to watch,0
Omg double elimination?! #MKR,0
@MikePrysner This man is a liar.  You can find YouTube interviews with the leaders of all Ukraine's groups.  None are neo Nazi.,0
@DrAbbasKadhim Why not complete the job at Baiji and Ramadi and Hit and Tikrit and let the Kurds clean up the North?,0
@x2xMiZoZoR3x2x http://t.co/BgDMZLaJSj,0
"@2kdei Let's see, why would there be a movement against Islam, but not against any other religion. http://t.co/1Vld7rxtLP",0
RT @PeterTownsend7: #islam #isis #tcot PC 'Logic' and Islam's free pass  http://t.co/Tr3FLr7Uy7 http://t.co/mg5q3G54iq,0
@HIHCrownPrinceD You are lying. He did no such thing.,0
RT @PaulWilko657: ISIS behead street magician for entertaining crowds in Syria with his tricks - which were 'an insult to Islam' http://t.c…,0
"@ibnHlophe That was your last chance, scumbag, now you are blocked.",0
